Year;Fund;Index;Tracking Difference
2012;15.3;16.1;0.8
2013;22.2;22.8;0.6
2014;3.7;4.2;0.5
2015;-2.5;-2.4;0.1
2016;9;7.9;-1.1
2017;23.8;24;0.2
2018;-9.6;-9.4;0.2
2019;26.5;26.6;0.1
2020;15.7;16.3;0.6
2021;18.6;18.5;-0.1
2022;-18.3;-18.4;-0.1
2023;22;22.2;0.2
2024;17.4;17.5;0.1
2025;22.8;22.3;-0.5
