Year;Fund;Index;Tracking Difference
2012;15.9;16.1;0.2
2013;22.37;22.8;0.43
2014;3.91;4.16;0.25
2015;-3.05;-2.36;0.69
2016;7.82;7.86;0.04
2017;23.94;23.97;0.03
2018;-9.5;-9.4;0.1
2019;26.4;26.6;0.2
2020;15.6;16.3;0.7
2021;18.7;18.5;-0.2
2022;-18.2;-18.4;-0.2
2023;22.3;22.2;-0.1
2024;17.4;17.5;0.1
2025;22.4;22.3;-0.1
