Year;Fund;Index;Tracking Difference
2012;16.7;16.4;-0.3
2013;23.71;23.55;-0.16
2014;4.42;3.84;-0.58
2015;-1.58;-2.19;-0.61
2016;9.4;8.4;-1
2017;23.2;23.9;0.7
2018;-10.3;-10.1;0.2
2019;25.9;26.4;0.5
2020;15.4;16.3;0.9
2021;18.3;18.2;-0.1
2022;-17.5;-18.4;-0.9
2023;21.1;21.6;0.5
2024;16.1;16.4;0.3
2025;22.2;22.1;-0.1
