Year;Fund;Index;Tracking Difference
2012;14.3;14.3;0
2013;17.4;17.5;0.1
2014;18.49;18.61;0.12
2015;8.55;8.76;0.21
2016;10.9;11.1;0.2
2017;8.7;8.9;0.2
2018;-5.1;-4.8;0.3
2019;28.7;28.9;0.2
2020;6.4;6.7;0.3
2021;27.3;27.5;0.2
2022;-13.2;-13;0.2
2023;17.9;18.1;0.2
2024;25.2;25.3;0.1
2025;7.7;7.9;0.2
