Year;Fund;Index;Tracking Difference
2015;-1;-0.9;0.1
2016;7.6;7.5;-0.1
2017;22.7;22.6;-0.1
2018;-9.4;-9.5;-0.1
2019;28.6;28.6;0
2020;16;15.9;-0.1
2021;21.9;21.8;-0.1
2022;-18.1;-18.1;0
2023;23.9;23.8;-0.1
2024;18.7;18.7;0
2025;21.2;21.1;-0.1
