Year;Fund;Index;Tracking Difference
2020;15.8;15.9;0.1
2021;22;21.8;-0.2
2022;-17.9;-18.1;-0.2
2023;24;23.8;-0.2
2024;18.9;18.7;-0.2
2025;21.2;21.1;-0.1
