Year;Fund;Index;Tracking Difference
2010;10.7;11.8;1.1
2011;-6.2;-5.5;0.7
2012;15.31;15.83;0.52
2013;26.29;26.68;0.39
2014;4.67;4.94;0.27
2015;-1.02;-0.87;0.15
2016;7.5;7.5;0
2017;22.4;22.4;0
2018;-8.6;-8.7;-0.1
2019;27.9;27.7;-0.2
2020;16;15.9;-0.1
2021;31.2;31.1;-0.1
2022;-18;-18.1;-0.1
2023;24;23.8;-0.2
2024;18.8;18.7;-0.1
2025;21.2;21.1;-0.1
