Year;Fund;Index;Tracking Difference
2020;16.2;16.1;-0.1
2021;21;20.9;-0.1
2022;-18;-18.2;-0.2
2023;23.8;23.6;-0.2
2024;17.9;17.7;-0.2
2025;22.4;22.3;-0.1
