Year;Fund;Index;Tracking Difference
2020;15.8;15.9;0.1
2021;21.6;21.8;0.2
2022;-18.3;-18;0.3
2023;23.8;23.8;0
2024;18.9;18.7;-0.2
2025;21.3;21.1;-0.2
