Year;Fund;Index;Tracking Difference
2008;-40.8;-40.7;0.1
2009;29.7;30;0.3
2010;11.5;11.8;0.3
2011;-5.7;-5.5;0.2
2012;15.6;15.8;0.2
2013;26.3;26.7;0.4
2014;4.8;4.9;0.1
2015;-1;-0.9;0.1
2016;7.5;7.5;0
2017;22.6;22.6;0
2018;-9.4;-9.5;-0.1
2019;28.8;28.6;-0.2
2020;15.9;15.9;0
2021;21.8;21.8;0
2022;-18.2;-18.1;0.1
2023;23.7;23.8;0.1
2024;18.6;18.7;0.1
2025;21;21.1;0.1
