Year;Fund;Index;Tracking Difference
2010;11;11.8;0.8
2011;-5.9;-5.5;0.4
2012;15.5;15.8;0.3
2013;26.7;26.7;0
2014;5;4.9;-0.1
2015;-0.8;-0.9;-0.1
2016;7.7;7.5;-0.2
2017;22.4;22.4;0
2018;-8.6;-8.7;-0.1
2019;27.8;27.7;-0.1
2020;15.9;15.9;0
2021;21.9;21.8;-0.1
2022;-18;-18.1;-0.1
2023;23.9;23.8;-0.1
2024;18.7;18.7;0
2025;21.2;21.1;-0.1
