Year;Fund;Index;Tracking Difference
2011;-5.4;-5.5;-0.1
2012;15.7;15.8;0.1
2013;26.3;26.7;0.4
2014;4.8;4.9;0.1
2015;-1.8;-0.9;0.9
2016;7.6;7.5;-0.1
2017;22.7;22.4;-0.3
2018;-8.3;-8.7;-0.4
2019;27.9;27.7;-0.2
2020;16.3;15.9;-0.4
2021;22.2;21.8;-0.4
2022;-18.1;-18.1;0
2023;24.1;23.8;-0.3
2024;18.7;18.7;0
2025;21.3;21.1;-0.2
