Year;Fund;Index;Tracking Difference
2010;19.1;19.5;0.4
2011;-2.7;-2.4;0.3
2012;13.8;14;0.2
2013;21.2;21.2;0
2014;19.2;19.5;0.3
2015;10.7;10.4;-0.3
2016;10.7;10.7;0
2017;7.4;7.5;0.1
2018;-4.2;-4.1;0.1
2019;29.8;30;0.2
2020;6.3;6.3;0
2021;30.9;31.1;0.2
2022;-12.9;-12.8;0.1
2023;19.5;19.6;0.1
2024;26.3;26.6;0.3
2025;6.4;6.8;0.4
