Year;Fund;Index;Tracking Difference
2011;-19.2;-18.4;0.8
2012;17.4;18.2;0.8
2013;-3.6;-2.6;1
2014;-3.2;-2.2;1
2015;-15.7;-14.9;0.8
2016;10.4;11.2;0.8
2017;36.6;37.3;0.7
2018;-15.1;-14.6;0.5
2019;17.8;18.4;0.6
2020;17.6;18.3;0.7
2021;-2.9;-2.5;0.4
2022;-20.3;-20.1;0.2
2023;9.5;9.8;0.3
2024;7.2;7.5;0.3
2025;33.2;33.6;0.4
