Year;Fund;Index;Tracking Difference
2015;-14.38;-13.86;0.52
2016;9.61;9.9;0.29
2017;36.98;36.83;-0.15
2018;-14.8;-15;-0.2
2019;17.5;17.6;0.1
2020;18.4;18.4;0
2021;-0.2;-0.3;-0.1
2022;-19.8;-19.8;0
2023;11.6;11.7;0.1
2024;7.2;7.1;-0.1
2025;31.6;31.4;-0.2
