Year;Fund;Index
2016;10.9;11.19
2017;36.84;37.28
2018;-14.95;-14.57
2019;17.84;18.42
2020;17.7;18.31
2021;-2.84;-2.54
2022;-20.17;-20.09
2023;9.68;9.83
2024;7.44;7.5
2025;33.62;33.57
