Year;Fund;Index
2016;10.52;11.19
2017;36.39;37.28
2018;-15.28;-14.57
2019;17.46;18.42
2020;17.4;18.31
2021;-3;-2.54
2022;-20.42;-20.09
2023;9.31;9.83
2024;7.08;7.5
2025;33.13;33.57
