Year;Fund;Index
2018;-10.79;-10.26
2019;20.61;20.6
2020;8.18;8.54
2021;4.6;4.86
2022;-14.99;-14.85
2023;5.94;6.11
2024;14.54;14.68
2025;17.91;17.76
