Year;Fund;Index;Tracking Difference
2008;-52;-51.6;0.4
2009;74.3;74.9;0.6
2010;25.2;26.6;1.4
2011;-16.6;-15.7;0.9
2012;15.5;16.4;0.9
2013;-7.6;-6.8;0.8
2014;10.47;11.38;0.91
2015;-5.9;-5.2;0.7
2016;13.8;14.5;0.7
2017;19.8;20.6;0.8
2018;-11;-10.3;0.7
2019;19.6;20.6;1
2020;7.7;8.5;0.8
2021;4.4;4.9;0.5
2022;-15.2;-14.9;0.3
2023;5.6;6.1;0.5
2024;14.2;14.7;0.5
2025;17.4;17.8;0.4
