Year;Fund;Index;Tracking Difference
2010;18.1;18.9;0.8
2011;-18.9;-18.4;0.5
2012;17.2;18.2;1
2013;-4;-2.6;1.4
2014;-2.9;-2.2;0.7
2015;-15.3;-14.9;0.4
2016;10.6;11.2;0.6
2017;36.6;37.3;0.7
2018;-15.1;-14.6;0.5
2019;17.5;18.4;0.9
2020;18;18.3;0.3
2021;-2.6;-2.5;0.1
2022;-20.1;-20.1;0
2023;9.7;9.8;0.1
2024;7.6;7.5;-0.1
2025;33.8;33.6;-0.2
