Year;Fund;Index;Tracking Difference
2012;17.2;18.2;1
2013;-3.3;-2.6;0.7
2014;-2.9;-2.2;0.7
2015;-15.7;-14.9;0.8
2016;11.6;11.2;-0.4
2017;36.7;37.3;0.6
2018;-14.7;-14.6;0.1
2019;17.9;18.4;0.5
2020;18;18.3;0.3
2021;-2.5;-2.5;0
2022;-20.4;-20.1;0.3
2023;9.8;9.8;0
2024;7.6;7.5;-0.1
2025;33.8;33.6;-0.2
