Year;Fund;Index;Tracking Difference
2018;-14.7;-14.5;0.2
2019;18.6;18.8;0.2
2020;18;18.3;0.3
2021;-2.7;-2.5;0.2
2022;-20.2;-20.1;0.1
2023;9.6;9.8;0.2
2024;7.5;7.5;0
2025;33.7;33.6;-0.1
