Year;Fund;Index;Tracking Difference
2008;-53.6;-53.3;0.3
2009;77.5;78.5;1
2010;18.1;18.9;0.8
2011;-19.2;-18.4;0.8
2012;17.1;18.2;1.1
2013;-3.6;-2.6;1
2014;-3;-2.2;0.8
2015;-15.6;-14.9;0.7
2016;10.3;11.2;0.9
2017;36.1;36.7;0.6
2018;-14.9;-14.5;0.4
2019;18.2;18.8;0.6
2020;17.4;18.3;0.9
2021;-3;-2.5;0.5
2022;-20.3;-20.1;0.2
2023;9.5;9.8;0.3
2024;7.3;7.5;0.2
2025;33.2;33.6;0.4
