Year;Fund;Index;Tracking Difference
2011;-16.3;-15.7;0.6
2012;15.1;16.4;1.3
2013;-7.3;-6.8;0.5
2014;10.7;11.4;0.7
2015;-5.6;-5.2;0.4
2016;14.2;14.5;0.3
2017;20.2;20.6;0.4
2018;-10.7;-10.3;0.4
2019;20;20.6;0.6
2020;8;8.5;0.5
2021;4.5;4.9;0.4
2022;-14.9;-14.9;0
2023;6;6.1;0.1
2024;14.6;14.7;0.1
2025;17.8;17.8;0
