Year;Fund;Index
2015;-15.54;-15.05
2016;11.09;11.56
2017;36.99;37.28
2018;-15.08;-14.85
2019;18.27;19.21
2020;17.57;17.91
2021;-3.07;-2.54
2022;-20.09;-20.09
2023;9.32;9.83
2024;7.17;7.5
2025;33.38;33.57
