Isin;Name;ReplicationType;Category
IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;FC;Developed
IE00B4L5Y983;iShares Core MSCI World UCITS ETF;FC;Developed
IE00BFY0GT14;State Street SPDR MSCI World UCITS ETF;FC;Developed
IE00B44Z5B48;State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc);FC;All World
IE00BK5BQT80;Vanguard FTSE All-World UCITS ETF (USD) Accumulating;FC;All World
IE00B6R52259;iShares MSCI ACWI UCITS ETF USD (Acc);FC;All World
IE00B4X9L533;HSBC MSCI World UCITS ETF USD;FC;Developed
IE00BD4TXV59;UBS Core MSCI World UCITS ETF USD acc;FT;Developed
IE000BI8OT95;Amundi Core MSCI World UCITS ETF Acc;FT;Developed
IE0003XJA0J9;Amundi Prime All Country World UCITS ETF Acc;FT;All World
IE00B3YLTY66;State Street SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc);FC;All World
IE00B60SX394;Invesco MSCI World UCITS ETF Acc;S;Developed
LU1681043599;Amundi MSCI World Swap UCITS ETF EUR Acc;S;Developed
IE00BK5BQV03;Vanguard FTSE Developed World UCITS ETF Acc;FC;Developed
LU0274208692;Xtrackers MSCI World Swap UCITS ETF 1C;S;Developed
IE00BYM11H29;UBS MSCI ACWI SF UCITS ETF USD acc;S;All World
IE000716YHJ7;Invesco FTSE All-World UCITS ETF Acc;FC;All World
LU1829220216;Amundi MSCI All Country World UCITS ETF EUR Acc;S;All World
IE000UQND7H4;HSBC MSCI World UCITS ETF USD (Acc);FC;Developed
IE000F9IDGB5;iShares MSCI World Swap UCITS ETF USD (Acc);S;Developed
LU2903252349;Scalable MSCI AC World Xtrackers UCITS ETF 1C;I;All World
FR0014003IY1;Amundi MSCI World Swap II UCITS ETF Acc;S;Developed
LU1681043672;Amundi MSCI World Swap UCITS ETF USD Acc;S;Developed
IE00BKM4GZ66;iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc);FT;Emerging
IE00BTJRMP35;Xtrackers MSCI Emerging Markets UCITS ETF 1C;FC;Emerging
IE00B4L5YC18;iShares MSCI EM UCITS ETF (Acc);FT;Emerging
LU0950674175;UBS Core MSCI EM UCITS ETF USD acc;FC;Emerging
LU2573967036;Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc;S;Emerging
LU1681045370;Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc;S;Emerging
LU1437017350;Amundi Core MSCI Emerging Markets UCITS ETF Acc;FT;Emerging
IE00BK5BR733;Vanguard FTSE Emerging Markets UCITS ETF (USD) Accumulating;FT;Emerging
IE00B469F816;State Street SPDR MSCI Emerging Markets UCITS ETF USD;FT;Emerging
LU1681045453;Amundi MSCI Emerging Markets Swap UCITS ETF USD Acc;S;Emerging
IE000KCS7J59;HSBC MSCI Emerging Markets UCITS ETF USD (Acc);FT;Emerging
FR0010429068;Amundi MSCI Emerging Markets Swap II UCITS ETF EUR Acc;S;Emerging
LU0292107645;Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C;S;Emerging
LU2300295123;Amundi Prime Emerging Markets UCITS ETF DR (C);FT;Emerging
IE00B3DWVS88;Invesco MSCI Emerging Markets UCITS ETF Acc;S;Emerging
IE00B3Z3FS74;UBS MSCI EM SF UCITS ETF USD acc;S;Emerging
FR0010435297;Amundi MSCI Emerging Markets Swap II UCITS ETF USD Acc;S;Emerging
